"Run","HasBest","Status","Evidence"
"20260707_175851__073__train_stage23_graph_prop_nw0_2","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"20260708_124046__074__train_stage23_softgraph_v2_0626","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"20260709_144843__075__train_graph_v3_frozen_0626_v2","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"20260709_180920__076__train_graph_v4_frozen_0626","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"20260710_001203__077__train_stage23_softconn_w012_018","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"20260710_095022__078__train_graph_v5_clamp_frozen_0626","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"20260710_123857__079__train_stage23_w012_018_0626","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"20260710_225917__080__train_stage23_w008_012_0626_20260710","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"20260711_075507__081__train_stage23_w006_009_0626_20260711","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_038b52d_dirguide_gateprop_w003_d02_20260721","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_0626_best0719_stage1_mergeattn_w01_20260720","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_0626_best0719_stage1_mergeattn_w01_20260720_2","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_0626_overlap_a1a2_resmerge_a005_a02_w01_20260714","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_0626_overlap_a1a2_resmerge_a005_a02_w01_20260714_2","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_0626_overlap_a1a2bias_decoder_structbias_w01_20260716","False","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
